,Name,Price,Rating,Feedback
0,Смартфон Xiaomi 13T 256GB/12GB Black,299990₸,5,(1 отзыв)
1,Смартфон Xiaomi 13T Pro 512GB/12GB Black,389990₸,5,(1 отзыв)
2,Смартфон Xiaomi 13 256GB/12GB White,549990₸,5,(1 отзыв)
3,Смартфон Xiaomi 13 Lite 256GB Black,219990₸,4.8,(23 отзыва)
4,Смартфон Xiaomi 13 256GB/12GB Black,549990₸,5,(2 отзыва)
5,Смартфон Xiaomi 13 PRO 512GB Ceramic Black,749990₸,4.7,(3 отзыва)
6,Смартфон Xiaomi 13T 256GB/12GB Alpine Blue,299990₸,,Нет отзывов
7,Смартфон Xiaomi 13T 256GB/12GB Meadow Green,299990₸,,Нет отзывов
8,Смартфон Xiaomi 13 256GB/8GB Black,519990₸,4,(2 отзыва)
9,Смартфон Xiaomi 13 PRO 512GB Ceramic White,749990₸,5,(1 отзыв)
10,Смартфон Xiaomi 13 Lite 256GB Lite Pink,219990₸,5,(6 отзывов)
11,Смартфон Xiaomi 13 Lite 256GB Lite Blue,219990₸,4.7,(12 отзывов)
